sim_seed,num_iter,training_loss,training_accuracy,test_accuracy
1,5,0.03406774625182152,0.4552333333333333,0.4553366009802941
1,10,0.051692571491003036,0.369,0.36600980294088226
1,15,0.06833378225564957,0.47863333333333336,0.47714314294288285
1,20,0.048215337097644806,0.38206666666666667,0.38001400420126036
1,25,0.0529724657535553,0.6064333333333334,0.6033810143042913
1,30,0.041078656911849976,0.6665666666666666,0.6641992597779334
1,35,0.03069770522415638,0.6375,0.637591277383215
1,40,0.010360178537666798,0.6320333333333333,0.6202860858257477
1,45,0.020794253796339035,0.695,0.6918075422626788
1,50,0.016617998480796814,0.6892,0.6889066720016005
1,55,0.02200121432542801,0.6304666666666666,0.62518755626688
1,60,0.014833648689091206,0.7213333333333334,0.7182154646393918
1,65,0.021259110420942307,0.6654333333333333,0.6620986295888767
1,70,0.013211081735789776,0.7208666666666667,0.7136140842252676
1,75,0.019861740991473198,0.6824,0.6754026207862359
1,80,0.019309761002659798,0.7545666666666667,0.7499249774932479
1,85,0.01816282980144024,0.7397333333333334,0.731519455836751
1,90,0.013902755454182625,0.7194333333333334,0.7067120136040812
1,95,0.02079840749502182,0.7928333333333333,0.7862358707612284
1,100,0.011163725517690182,0.7934,0.7846353906171851
1,105,0.00754157081246376,0.7872333333333333,0.7821346403921177
1,110,0.01008153147995472,0.75,0.7379213764129239
1,115,0.015673022717237473,0.7702,0.7674302290687206
1,120,0.016107691451907158,0.7633,0.7554266279883965
1,125,0.007343089673668146,0.7886333333333333,0.7828348504551366
1,130,0.010471826419234276,0.8051666666666667,0.7964389316795039
1,135,0.008922798559069633,0.7689,0.7648294488346504
1,140,0.010225005447864532,0.8177333333333333,0.8069420826247874
1,145,0.005168505944311619,0.8317333333333333,0.8190457137141143
1,150,0.0044465442188084126,0.8235666666666667,0.8118435530659198
1,155,0.0047611347399652,0.8359333333333333,0.8236470941282384
1,160,0.005655533168464899,0.7914666666666667,0.7755326597979394
1,165,0.010556329973042011,0.8188666666666666,0.8065419625887766
1,170,0.007001016288995743,0.8162666666666667,0.8075422626788037
1,175,0.004826073534786701,0.8116,0.7966389916975093
1,180,0.008750162087380886,0.8034333333333333,0.7938381514454337
1,185,0.0058022369630634785,0.7959,0.7838351505451635
1,190,0.00930587388575077,0.8227333333333333,0.8109432829848955
1,195,0.004322068765759468,0.8349333333333333,0.8169450835250576
1,200,0.00534745492041111,0.8318,0.8189456837051116
1,205,0.004393213894218206,0.8301333333333333,0.815444633390017
1,210,0.004211085382848978,0.8369666666666666,0.8239471841552466
1,215,0.005624463781714439,0.7982333333333334,0.7841352405721717
1,220,0.008412959054112434,0.8206,0.8151445433630089
1,225,0.0067622363567352295,0.8224333333333333,0.8084425327598279
1,230,0.005347467493265867,0.8215666666666667,0.8102430729218766
1,235,0.008047368377447128,0.7884333333333333,0.7730319095728718
1,240,0.010943064466118813,0.8218666666666666,0.8080424127238172
1,245,0.0064509958028793335,0.8235666666666667,0.8135440632189657
1,250,0.004883223678916693,0.8133333333333334,0.8009402820846254
sim_seed,num_iter,training_loss,training_accuracy,test_accuracy
2,5,0.021076884120702744,0.4747,0.466740022006602
2,10,0.053684789687395096,0.3918,0.378813644093228
2,15,0.06166421249508858,0.5175666666666666,0.5144543363008902
2,20,0.04622986912727356,0.5265,0.5193558067420226
2,25,0.02189297042787075,0.5678,0.5578673602080624
2,30,0.03347579017281532,0.6782,0.6607982394718416
2,35,0.020406464114785194,0.6620666666666667,0.6507952385715715
2,40,0.01828986406326294,0.7578333333333334,0.752925877763329
2,45,0.03992704674601555,0.6350666666666667,0.6242872861858557
2,50,0.04003464803099632,0.7452333333333333,0.744223266980094
2,55,0.017209770157933235,0.6832,0.6752025607682305
2,60,0.023729389533400536,0.7281666666666666,0.7169150745223567
2,65,0.021857887506484985,0.6859333333333333,0.6780034010203061
2,70,0.020140718668699265,0.762,0.7564269280784235
2,75,0.021615000441670418,0.6895666666666667,0.6856056817045113
2,80,0.03335709497332573,0.7502,0.748924677403221
2,85,0.01524886954575777,0.6608333333333334,0.6440932279683905
2,90,0.016385026276111603,0.7107,0.6898069420826248
2,95,0.02587946690618992,0.7132333333333334,0.7014104231269381
2,100,0.014101037755608559,0.7276333333333334,0.7184155246573972
2,105,0.022564074024558067,0.7612333333333333,0.7513253976192857
2,110,0.008253037929534912,0.7765333333333333,0.7577273181954587
2,115,0.013143963180482388,0.7724666666666666,0.7633289986996099
2,120,0.013830476440489292,0.7300333333333333,0.7140142042612784
