sim_seed,num_iter,training_loss,training_accuracy,test_accuracy
1,5,0.025804907083511353,0.6552222222222223,0.6542271135567784
1,10,0.042165715247392654,0.48433333333333334,0.4837418709354677
1,15,0.054688870906829834,0.6246111111111111,0.6266133066533267
1,20,0.052283015102148056,0.6248888888888889,0.6242121060530265
1,25,0.02976190112531185,0.6542777777777777,0.6497248624312156
1,30,0.022194065153598785,0.5957777777777777,0.5932966483241621
1,35,0.030396372079849243,0.6901111111111111,0.6884442221110555
1,40,0.024002650752663612,0.6379444444444444,0.6408204102051025
1,45,0.013323632068932056,0.6583888888888889,0.6398199099549775
1,50,0.02287653461098671,0.7565555555555555,0.7569784892446223
1,55,0.013177343644201756,0.6858333333333333,0.67943971985993
1,60,0.01310053002089262,0.7406111111111111,0.7388694347173587
1,65,0.02943550981581211,0.6918333333333333,0.689544772386193
1,70,0.019394252449274063,0.7850555555555555,0.7875937968984492
1,75,0.005415183492004871,0.8053888888888889,0.8018009004502251
1,80,0.009920567274093628,0.7815555555555556,0.7755877938969484
1,85,0.028142385184764862,0.7635,0.7587793896948474
1,90,0.024433156475424767,0.7187777777777777,0.713056528264132
1,95,0.009059256874024868,0.802,0.7854927463731866
1,100,0.009847309440374374,0.8149444444444445,0.815407703851926
1,105,0.007131513673812151,0.8367222222222223,0.8277138569284642
1,110,0.011028030887246132,0.7963888888888889,0.7919959979989994
1,115,0.012142015621066093,0.7874444444444444,0.7799899949974988
1,120,0.009656100533902645,0.8099444444444445,0.8065032516258129
1,125,0.0050988830626010895,0.8416666666666667,0.8311155577788895
1,130,0.0063500008545815945,0.8295555555555556,0.824912456228114
1,135,0.010724352672696114,0.8043888888888889,0.7915957978989495
1,140,0.010337128303945065,0.8166111111111111,0.8138069034517259
1,145,0.008929719217121601,0.8145,0.8060030015007503
1,150,0.0047529577277600765,0.8312777777777778,0.8244122061030515
1,155,0.0058476063422858715,0.8323333333333334,0.8171085542771386
1,160,0.006717498414218426,0.824,0.8175087543771886
1,165,0.008290337398648262,0.8127222222222222,0.8016008004002001
1,170,0.0051168049685657024,0.8476666666666667,0.8398199099549775
1,175,0.0047619957476854324,0.8495555555555555,0.8375187593796899
1,180,0.004515182692557573,0.8281111111111111,0.8195097548774387
1,185,0.00478420639410615,0.8596111111111111,0.8491245622811405
1,190,0.005811212118715048,0.8327222222222223,0.8262131065532766
1,195,0.009701622650027275,0.7981111111111111,0.7872936468234117
1,200,0.006851425394415855,0.8283888888888888,0.8221110555277639
1,205,0.004290980286896229,0.8691111111111111,0.857528764382191
1,210,0.003004784230142832,0.8804444444444445,0.8695347673836918
1,215,0.002680641133338213,0.8686111111111111,0.857528764382191
1,220,0.0026454997714608908,0.8625555555555555,0.8509254627313657
1,225,0.002918172162026167,0.8762777777777778,0.864632316158079
1,230,0.003161618486046791,0.8435,0.8310155077538769
1,235,0.003559718606993556,0.8592777777777778,0.8479239619809905
1,240,0.006739549804478884,0.814,0.8037018509254628
1,245,0.005826237611472607,0.8418888888888889,0.8307153576788394
